index_i,index_j,geodesique_km,routier_km,asymetrie_km,ratio
32,33,65.488,74.665,0.33,1.1401
32,34,29.332,36.45,0.38,1.2427
32,35,53.669,62.185,0.35,1.1587
32,36,24.708,29.9,3.72,1.2101
32,37,117.464,135.91,3.18,1.157
32,38,111.255,134.795,2.67,1.2116
32,43,133.425,179.11,2.68,1.3424
32,44,93.984,124.25,2.86,1.322
32,45,106.484,142.755,2.15,1.3406
32,49,172.471,230.68,2.16,1.3375
32,50,168.595,200.525,0.11,1.1894
32,52,63.776,98.645,1.91,1.5467
32,55,59.952,80.74,0.72,1.3467
32,59,66.154,85.745,0.67,1.2961
32,60,71.562,117.52,1.38,1.6422
32,62,87.341,122.46,0.84,1.4021
32,65,107.252,154.615,0.91,1.4416
32,68,122.366,150.39,0.74,1.229
32,69,184.576,213.755,0.87,1.1581
32,70,178.07,205.685,0.67,1.1551
32,73,192.439,230.88,5.52,1.1998
32,76,153.693,186.075,0.75,1.2107
32,78,92.812,135.365,0.49,1.4585
32,79,75.875,94.48,3.36,1.2452
32,80,119.651,182.095,0.39,1.5219
32,81,97.662,164.055,0.49,1.6798
32,82,211.213,275.415,0.35,1.304
32,84,245.33,316.815,0.41,1.2914
32,85,182.556,245.06,0.32,1.3424
32,89,307.728,391.07,1.3,1.2708
32,90,288.768,371.095,1.23,1.2851
32,91,275.694,341.41,0.74,1.2384
32,96,385.351,478.46,0.68,1.2416
32,97,371.57,468.985,0.71,1.2622
32,98,275.127,399.125,1.05,1.4507
32,99,306.277,438.43,1.12,1.4315
32,101,356.171,491.255,1.09,1.3793
33,34,36.547,38.98,0.04,1.0666
33,35,12.101,12.81,0.02,1.0586
33,36,59.623,74.86,0.0,1.2556
33,37,118.429,189.045,8.33,1.5963
33,38,120.93,187.935,8.85,1.5541
33,43,171.288,232.25,8.84,1.3559
33,44,134.071,177.39,8.66,1.3231
33,45,151.096,195.89,9.36,1.2965
33,49,225.505,283.815,9.35,1.2586
33,50,226.581,293.63,12.64,1.2959
33,52,120.412,172.385,1.43,1.4316
33,55,118.361,154.485,0.23,1.3052
33,59,125.312,159.49,0.18,1.2727
33,60,121.038,191.27,0.9,1.5802
33,62,139.412,196.205,0.35,1.4074
33,65,149.05,228.365,0.43,1.5321
33,68,175.053,224.14,0.26,1.2804
33,69,235.654,287.505,0.39,1.22
33,70,229.005,279.43,0.2,1.2202
33,73,244.451,304.625,5.03,1.2462
33,76,201.778,259.82,0.26,1.2877
33,78,157.699,209.115,0.97,1.326
33,79,141.137,168.225,3.85,1.1919
33,80,185.018,255.84,0.88,1.3828
33,81,163.15,237.805,0.97,1.4576
33,82,276.009,349.165,0.83,1.265
33,84,310.18,390.565,0.89,1.2592
33,85,247.765,318.81,0.8,1.2867
33,89,363.428,464.815,0.81,1.279
33,90,349.071,444.84,0.74,1.2744
33,91,334.618,415.155,0.25,1.2407
33,96,438.61,552.205,0.21,1.259
33,97,425.862,542.73,0.22,1.2744
33,98,340.548,472.87,0.56,1.3886
33,99,371.754,512.175,0.63,1.3777
33,101,421.657,565.005,0.61,1.34
34,35,25.208,26.5,0.0,1.0513
34,36,32.147,36.65,0.04,1.1401
